Time,Emotion,Stress%
13:36:17,Calm,49
13:36:17,Calm,49
13:36:18,Calm,49
13:36:18,Stressed,50
13:36:18,Stressed,50
13:36:18,Stressed,50
13:36:18,Calm,49
13:36:19,Calm,49
13:36:19,Calm,47
13:36:19,Calm,50
13:36:19,Calm,44
13:36:19,Calm,50
13:36:19,Calm,50
13:36:19,Calm,47
13:36:19,Calm,43
13:36:20,Calm,46
13:36:20,Calm,47
13:36:20,Calm,47
13:36:20,Calm,46
13:36:20,Calm,46
13:36:20,Calm,47
13:36:21,Calm,47
13:36:21,Calm,48
